pixels , time(ms) , stdvar(ms)
40000 , 1.40964 , 0.314002
246600 , 7.49865 , 0.926533
384000 , 12.3016 , 0.946071
480000 , 15.3942 , 1.13205
1228800 , 43.1386 , 1.6043
