pixels , time(ms) , stdvar(ms)
40000 , 1.0676 , 0.156068
40000 , 0.57395 , 0.0353547
246600 , 4.6139 , 0.646573
246600 , 3.7184 , 0.18173
384000 , 5.80846 , 0.767143
384000 , 5.75037 , 0.297822
480000 , 9.95815 , 0.543134
480000 , 7.30854 , 0.300706
1228800 , 34.1481 , 1.415
1228800 , 17.9057 , 0.512212
