pixels , time(ms) , stdvar(ms)
40000 , 0.0179346 , 0.01245
246600 , 0.0556877 , 0.0422422
384000 , 0.0690157 , 0.0306749
480000 , 0.0849625 , 0.0390737
1228800 , 0.247302 , 0.161815
